rank,address,label,is_recipient,is_voter,recipient_voter_overlap,total_compensation_gonka,voting_power,vote_option,cluster_id,cluster_kind,evidence_boundary,proof_count,high_confidence_claim_count,triage_score,next_actions,top_evidence
11,gonka1hwvel7n3zuk6wruefuzc356l9myske9stckwnz,http://148.113.47.71:8000,True,True,True,1575.513417,19974,yes,label:http://148.113.47.71:8000,label,shared_public_label_only,0,4,18.247,review conflict narrative | prioritize owner attribution | enrich beneficiary identity,compensation_output:1575.513417 GONKA:high | matched_validator_moniker:gonkavaloper1hwvel7n3zuk6wruefuzc356l9myske9shc8fy0:high | matched_validator_moniker:gonkavaloper1hwvel7n3zuk6wruefuzc356l9myske9shc8fy0:high | proposal_vote:yes:high | epoch_commit_participant:e265 Qwen/Qwen3-235B-A22B-Instruct-2507-FP8 count=51552:medium
12,gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4,http://88.99.213.222:8000,True,True,True,10934.181496,0,no_with_veto,label:http://88.99.213.222:8000,label,shared_public_label_only,0,2,17.734,review conflict narrative | enrich beneficiary identity,compensation_output:10934.181496 GONKA:high | proposal_vote:no_with_veto:high | epoch_commit_participant:e265 moonshotai/Kimi-K2.6 count=12832:medium | epoch_commit_participant:e268 Qwen/Qwen3-235B-A22B-Instruct-2507-FP8 count=39328:medium | epoch_commit_participant:e270 moonshotai/Kimi-K2.6 count=13536:medium
13,gonka1scskt6wpnjnumsah6kjphmdu87vjgvcxmn4rxv,http://57.131.17.61:8000,True,True,True,5645.801437,0,yes,label:http://57.131.17.61:8000,label,shared_public_label_only,0,4,16.411,review conflict narrative | enrich beneficiary identity,compensation_output:5645.801437 GONKA:high | matched_validator_moniker:gonkavaloper1scskt6wpnjnumsah6kjphmdu87vjgvcx8nyy3p:high | matched_validator_moniker:gonkavaloper1scskt6wpnjnumsah6kjphmdu87vjgvcx8nyy3p:high | proposal_vote:yes:high | epoch_commit_participant:e275 Qwen/Qwen3-235B-A22B-Instruct-2507-FP8 count=8320:medium
14,gonka1zktn8j65wlys8a8e38hqhf4y3x6m4x04zskkrx,http://65.108.198.21:8000,True,True,True,2392.222959,4565,no_with_veto,label:http://65.108.198.21:8000,label,shared_public_label_only,0,4,16.25,review conflict narrative | prioritize owner attribution | enrich beneficiary identity,compensation_output:2392.222959 GONKA:high | matched_validator_moniker:gonkavaloper1zktn8j65wlys8a8e38hqhf4y3x6m4x047s835t:high | matched_validator_moniker:gonkavaloper1zktn8j65wlys8a8e38hqhf4y3x6m4x047s835t:high | proposal_vote:no_with_veto:high | epoch_commit_participant:e265 Qwen/Qwen3-235B-A22B-Instruct-2507-FP8 count=41056:medium
15,gonka1gyk0aahvr3qeju4zx0nplfreej6cy4jjk8svc5,http://69.48.159.137:8000/,True,True,True,30.990429,278,no_with_veto,label:http://69.48.159.137:8000/,label,shared_public_label_only,0,4,15.047,review conflict narrative | prioritize owner attribution | enrich beneficiary identity,compensation_output:30.990429 GONKA:high | matched_validator_moniker:gonkavaloper1gyk0aahvr3qeju4zx0nplfreej6cy4jj28pt0e:high | matched_validator_moniker:gonkavaloper1gyk0aahvr3qeju4zx0nplfreej6cy4jj28pt0e:high | proposal_vote:no_with_veto:high | epoch_commit_participant:e267 Qwen/Qwen3-235B-A22B-Instruct-2507-FP8 count=1152:medium
16,gonka1fvly5jrewyjmjfgwah3khy9rttq4cqajcesv9p,http://20.163.111.183:8000,True,True,True,113.864834,0,no_with_veto,label:http://20.163.111.183:8000,label,shared_public_label_only,0,4,15.028,review conflict narrative | enrich beneficiary identity,compensation_output:113.864834 GONKA:high | matched_validator_moniker:gonkavaloper1fvly5jrewyjmjfgwah3khy9rttq4cqajyeptjv:high | matched_validator_moniker:gonkavaloper1fvly5jrewyjmjfgwah3khy9rttq4cqajyeptjv:high | proposal_vote:no_with_veto:high | epoch_commit_participant:e265 Qwen/Qwen3-235B-A22B-Instruct-2507-FP8 count=4000:medium
17,gonka1cuwejs77gectp3n32wg8q27hlsa4m3hqspf4ww,http://20.171.77.105:8000,True,True,True,108.366532,0,no_with_veto,label:http://20.171.77.105:8000,label,shared_public_label_only,0,4,15.027,review conflict narrative | enrich beneficiary identity,compensation_output:108.366532 GONKA:high | matched_validator_moniker:gonkavaloper1cuwejs77gectp3n32wg8q27hlsa4m3hqvpcjer:high | matched_validator_moniker:gonkavaloper1cuwejs77gectp3n32wg8q27hlsa4m3hqvpcjer:high | proposal_vote:no_with_veto:high | epoch_commit_participant:e265 Qwen/Qwen3-235B-A22B-Instruct-2507-FP8 count=3872:medium
18,gonka1j7x6dv42xehe9e5au4ku3wvzwtqlegfjhlvzj6,http://178.104.95.5:8000,True,False,False,39809.676543,0,did_not_vote,label:http://178.104.95.5:8000,label,shared_public_label_only,0,3,9.952,enrich beneficiary identity,compensation_output:39809.676543 GONKA:high | matched_validator_moniker:gonkavaloper1j7x6dv42xehe9e5au4ku3wvzwtqlegfjtla99h:high | matched_validator_moniker:gonkavaloper1j7x6dv42xehe9e5au4ku3wvzwtqlegfjtla99h:high | epoch_commit_participant:e265 Qwen/Qwen3-235B-A22B-Instruct-2507-FP8 count=1024:medium | epoch_commit_participant:e265 moonshotai/Kimi-K2.6 count=57984:medium
19,gonka1ym3np7guxart483yfdxnlztuazx22cjt0e4a2p,Arturs Plisko · Hyperfusion,False,True,False,0,5395,no_with_veto,label:Arturs Plisko · Hyperfusion,label,public_owner_proof,5,8,8.771,monitor,matched_validator_identity:7B07CCF42FA50009:high | matched_validator_identity:7B07CCF42FA50009:high | matched_validator_moniker:Hyperfusion:high | matched_validator_moniker:Hyperfusion:high | validator_key_match:RpybUPIxWuzq83a7BqPL2dvUMc2cyPWljCcIwW/RFRI=:high
20,gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5,gonka-3,True,False,False,3018.840187,0,did_not_vote,strict-1,strict_identity,public_owner_proof,5,7,8.755,monitor,matched_validator_identity:673C81B66A67ED67:high | matched_validator_identity:673C81B66A67ED67:high | matched_validator_moniker:gonka-3:high | matched_validator_moniker:gonka-3:high | validator_key_match:FODVOcIY8RNoGA7WsiNSL6YQ8N4/A5Ox1IyXgc/FmE0=:high
21,gonka1jrgm47v5eg876udmzg6j6glqcsd5x0vk6crpax,http://95.217.121.189:8000,True,False,False,33750.579636,0,did_not_vote,label:http://95.217.121.189:8000,label,shared_public_label_only,0,3,8.438,enrich beneficiary identity,compensation_output:33750.579636 GONKA:high | matched_validator_moniker:gonkavaloper1jrgm47v5eg876udmzg6j6glqcsd5x0vkxcjx2t:high | matched_validator_moniker:gonkavaloper1jrgm47v5eg876udmzg6j6glqcsd5x0vkxcjx2t:high | epoch_commit_participant:e266 moonshotai/Kimi-K2.6 count=25664:medium | epoch_commit_participant:e267 moonshotai/Kimi-K2.6 count=38336:medium
22,gonka12pcu9mcrpa4w4sjd9y3dsksnvu495ss6f9r4ra,Formula x AI,True,False,False,1166.439756,0,did_not_vote,label:Formula x AI,label,public_owner_proof,3,5,8.292,monitor,matched_validator_moniker:Formula x AI:high | matched_validator_moniker:Formula x AI:high | validator_key_match:aVjnIbFCA91pBgh+9efqFNobNu8my/kDn2xZckGkGwk=:high | compensation_output:1166.439756 GONKA:high | validator_key_match:aVjnIbFCA91pBgh+9efqFNobNu8my/kDn2xZckGkGwk=:high
23,gonka1y2a9p56kv044327uycmqdexl7zs82fs5ryv5le,gonka-1,True,False,False,1025.259358,0,did_not_vote,strict-1,strict_identity,public_owner_proof,5,7,8.256,monitor,matched_validator_identity:673C81B66A67ED67:high | matched_validator_identity:673C81B66A67ED67:high | matched_validator_moniker:gonka-1:high | matched_validator_moniker:gonka-1:high | validator_key_match:OPwcpfQYOoWDuHKYivRVq5jxrELH0moP5qdznvj3Dps=:high
24,gonka1q9f3wphjnf633fevej30y4aw3nnw87hl0r7qe4,asd.gnk,False,True,False,0,0,no_with_veto,label:asd.gnk,label,public_owner_proof,17,18,8.0,monitor,gns_name:asd.gnk -> gonka1q9f3wphjnf633fevej30y4aw3nnw87hl0r7qe4:high | gns_name:asd.gnk -> gonka1q9f3wphjnf633fevej30y4aw3nnw87hl0r7qe4:high | gns_name:its.gnk -> gonka1q9f3wphjnf633fevej30y4aw3nnw87hl0r7qe4:high | gns_name:its.gnk -> gonka1q9f3wphjnf633fevej30y4aw3nnw87hl0r7qe4:high | gns_name:may.gnk -> gonka1q9f3wphjnf633fevej30y4aw3nnw87hl0r7qe4:high
25,gonka10079cnl3nuh2k82mhkm04dj0slhtw9kmjewwau,http://178.105.170.135:8000,True,False,False,20610.390028,0,did_not_vote,signal-1,signal_cluster,infrastructure_or_public_signal,0,3,5.153,enrich beneficiary identity | corroborate infrastructure cluster,compensation_output:20610.390028 GONKA:high | matched_validator_moniker:gonkavaloper10079cnl3nuh2k82mhkm04dj0slhtw9kmwelf23:high | matched_validator_moniker:gonkavaloper10079cnl3nuh2k82mhkm04dj0slhtw9kmwelf23:high | epoch_commit_participant:e268 Qwen/Qwen3-235B-A22B-Instruct-2507-FP8 count=992:medium | epoch_commit_participant:e268 moonshotai/Kimi-K2.6 count=14912:medium
26,gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5,http://136.243.110.227:8000,True,False,False,18234.887511,0,did_not_vote,label:http://136.243.110.227:8000,label,shared_public_label_only,0,1,4.559,enrich beneficiary identity,compensation_output:18234.887511 GONKA:high | epoch_commit_participant:e265 moonshotai/Kimi-K2.6 count=11168:medium | epoch_commit_participant:e266 moonshotai/Kimi-K2.6 count=12896:medium | epoch_commit_participant:e267 moonshotai/Kimi-K2.6 count=19040:medium | epoch_commit_participant:e268 moonshotai/Kimi-K2.6 count=13568:medium
27,gonka1d694r00czmq75txghwjcuk07lxvc8d4ekgsha0,http://network002.kaitaku.ai:8000,False,True,False,0,31063,no_with_veto,label:http://network002.kaitaku.ai:8000,label,shared_public_label_only,0,3,4.438,prioritize owner attribution,matched_validator_moniker:gonkavaloper1d694r00czmq75txghwjcuk07lxvc8d4e2gps2z:high | matched_validator_moniker:gonkavaloper1d694r00czmq75txghwjcuk07lxvc8d4e2gps2z:high | proposal_vote:no_with_veto:high | epoch_commit_participant:e266 Qwen/Qwen3-235B-A22B-Instruct-2507-FP8 count=1424:medium | epoch_commit_participant:e267 Qwen/Qwen3-235B-A22B-Instruct-2507-FP8 count=1424:medium
28,gonka1yal0ysgzc860zt3y8cds8656tnueusgymftvkw,http://94.130.152.246:8000,True,False,False,17630.158097,0,did_not_vote,label:http://94.130.152.246:8000,label,shared_public_label_only,0,3,4.408,enrich beneficiary identity,compensation_output:17630.158097 GONKA:high | matched_validator_moniker:gonkavaloper1yal0ysgzc860zt3y8cds8656tnueusgy8f6tpr:high | matched_validator_moniker:gonkavaloper1yal0ysgzc860zt3y8cds8656tnueusgy8f6tpr:high | epoch_commit_participant:e266 moonshotai/Kimi-K2.6 count=5664:medium | epoch_commit_participant:e267 moonshotai/Kimi-K2.6 count=30176:medium
29,gonka1830lqug50lse998x2lakk4pj5ypfumz5pasz0y,http://195.201.192.170:8000,True,False,False,13958.367773,0,did_not_vote,label:http://195.201.192.170:8000,label,shared_public_label_only,0,3,3.49,enrich beneficiary identity,compensation_output:13958.367773 GONKA:high | matched_validator_moniker:gonkavaloper1830lqug50lse998x2lakk4pj5ypfumz5aap9cf:high | matched_validator_moniker:gonkavaloper1830lqug50lse998x2lakk4pj5ypfumz5aap9cf:high | epoch_commit_participant:e265 moonshotai/Kimi-K2.6 count=12480:medium | epoch_commit_participant:e267 moonshotai/Kimi-K2.6 count=12640:medium
30,gonka1ujnc662v6g69jm6fgxnr79a2m7ehzeut059239,http://35.89.168.230:8000,True,False,False,12612.234866,0,did_not_vote,label:http://35.89.168.230:8000,label,shared_public_label_only,0,3,3.153,enrich beneficiary identity,compensation_output:12612.234866 GONKA:high | matched_validator_moniker:gonkavaloper1ujnc662v6g69jm6fgxnr79a2m7ehzeutn55dxg:high | matched_validator_moniker:gonkavaloper1ujnc662v6g69jm6fgxnr79a2m7ehzeutn55dxg:high | epoch_commit_participant:e265 Qwen/Qwen3-235B-A22B-Instruct-2507-FP8 count=7296:medium | epoch_commit_participant:e265 moonshotai/Kimi-K2.6 count=6784:medium
31,gonka1nmn039cgpkhmkzekpkfz3nkv9tcjckpn46jyrj,http://94.237.52.191:8000,False,True,False,0,20647,yes,label:http://94.237.52.191:8000,label,shared_public_label_only,0,3,2.95,prioritize owner attribution,matched_validator_moniker:gonkavaloper1nmn039cgpkhmkzekpkfz3nkv9tcjckpnf6rr5l:high | matched_validator_moniker:gonkavaloper1nmn039cgpkhmkzekpkfz3nkv9tcjckpnf6rr5l:high | proposal_vote:yes:high | participant_inference_url:http://94.237.52.191:8000:medium | participant_inference_url:http://94.237.52.191:8000:medium
32,gonka1007g0ut3u4wjkay9hegqfev4pj90qgexwskmcw,http://178.105.172.102:8000,True,False,False,11688.555563,0,did_not_vote,label:http://178.105.172.102:8000,label,shared_public_label_only,0,3,2.922,enrich beneficiary identity,compensation_output:11688.555563 GONKA:high | matched_validator_moniker:gonkavaloper1007g0ut3u4wjkay9hegqfev4pj90qgexjs8u0r:high | matched_validator_moniker:gonkavaloper1007g0ut3u4wjkay9hegqfev4pj90qgexjs8u0r:high | epoch_commit_participant:e268 moonshotai/Kimi-K2.6 count=14464:medium | epoch_commit_participant:e269 moonshotai/Kimi-K2.6 count=7008:medium
33,gonka1c6fwzedfsmpu4jnjekv4cn7mvr7x7fuqd6uqt9,http://204.12.168.89:8000,True,False,False,11366.419254,0,did_not_vote,label:http://204.12.168.89:8000,label,shared_public_label_only,0,3,2.842,enrich beneficiary identity,compensation_output:11366.419254 GONKA:high | matched_validator_moniker:gonkavaloper1c6fwzedfsmpu4jnjekv4cn7mvr7x7fuq36d8ug:high | matched_validator_moniker:gonkavaloper1c6fwzedfsmpu4jnjekv4cn7mvr7x7fuq36d8ug:high | epoch_commit_participant:e266 moonshotai/Kimi-K2.6 count=12384:medium | epoch_commit_participant:e267 moonshotai/Kimi-K2.6 count=11680:medium
34,gonka1wkgawwdzj623ss8eywayzdj6qcgr2llygactje,http://95.217.35.48:8000,True,False,False,10456.612261,0,did_not_vote,label:http://95.217.35.48:8000,label,shared_public_label_only,0,1,2.614,enrich beneficiary identity,compensation_output:10456.612261 GONKA:high | epoch_commit_participant:e265 moonshotai/Kimi-K2.6 count=6720:medium | epoch_commit_participant:e266 moonshotai/Kimi-K2.6 count=6496:medium | epoch_commit_participant:e267 moonshotai/Kimi-K2.6 count=12352:medium | epoch_commit_participant:e272 moonshotai/Kimi-K2.6 count=13344:medium
35,gonka1xwkesaxvdadh9wt9yyladu0r260s7whklcktds,http://94.130.143.155:8000,True,False,False,9768.694504,0,did_not_vote,label:http://94.130.143.155:8000,label,shared_public_label_only,0,3,2.442,enrich beneficiary identity,compensation_output:9768.694504 GONKA:high | matched_validator_moniker:gonkavaloper1xwkesaxvdadh9wt9yyladu0r260s7whkrc8v6a:high | matched_validator_moniker:gonkavaloper1xwkesaxvdadh9wt9yyladu0r260s7whkrc8v6a:high | epoch_commit_participant:e266 moonshotai/Kimi-K2.6 count=12896:medium | epoch_commit_participant:e267 moonshotai/Kimi-K2.6 count=6336:medium
36,gonka125n6kr5gvdup0lndfkps7t6rd6592panhrg3np,http://88.198.4.29:8000,True,False,False,9423.072516,0,did_not_vote,label:http://88.198.4.29:8000,label,shared_public_label_only,0,3,2.356,enrich beneficiary identity,compensation_output:9423.072516 GONKA:high | matched_validator_moniker:gonkavaloper125n6kr5gvdup0lndfkps7t6rd6592pantrekyv:high | matched_validator_moniker:gonkavaloper125n6kr5gvdup0lndfkps7t6rd6592pantrekyv:high | epoch_commit_participant:e265 moonshotai/Kimi-K2.6 count=6208:medium | epoch_commit_participant:e266 moonshotai/Kimi-K2.6 count=6048:medium
37,gonka19cjm4c5mt3j3qdr8vhytmm4hef3pnkvkm0x7m2,http://136.243.111.105:8000,True,False,False,8441.669468,0,did_not_vote,label:http://136.243.111.105:8000,label,shared_public_label_only,0,1,2.11,enrich beneficiary identity,compensation_output:8441.669468 GONKA:high | epoch_commit_participant:e265 moonshotai/Kimi-K2.6 count=6528:medium | epoch_commit_participant:e267 moonshotai/Kimi-K2.6 count=6432:medium | epoch_commit_participant:e269 moonshotai/Kimi-K2.6 count=6624:medium | epoch_commit_participant:e270 moonshotai/Kimi-K2.6 count=6624:medium
38,gonka18xeqnspxpg2vncufnjne485rkaagwvz7whyn0d,http://195.201.83.167:8000,True,False,False,6820.652574,0,did_not_vote,label:http://195.201.83.167:8000,label,shared_public_label_only,0,3,1.705,enrich beneficiary identity,compensation_output:6820.652574 GONKA:high | matched_validator_moniker:gonkavaloper18xeqnspxpg2vncufnjne485rkaagwvz7jh45cq:high | matched_validator_moniker:gonkavaloper18xeqnspxpg2vncufnjne485rkaagwvz7jh45cq:high | epoch_commit_participant:e265 moonshotai/Kimi-K2.6 count=6592:medium | epoch_commit_participant:e266 moonshotai/Kimi-K2.6 count=6080:medium
39,gonka1mmlyd5xxu5l68yx8wzclrkxkxvm88mhq5tp5s0,http://138.201.121.253:8000,True,False,False,6618.057561,0,did_not_vote,label:http://138.201.121.253:8000,label,shared_public_label_only,0,1,1.655,enrich beneficiary identity,compensation_output:6618.057561 GONKA:high | epoch_commit_participant:e267 moonshotai/Kimi-K2.6 count=6720:medium | epoch_commit_participant:e268 Qwen/Qwen3-235B-A22B-Instruct-2507-FP8 count=18912:medium | epoch_commit_participant:e270 moonshotai/Kimi-K2.6 count=5024:medium | epoch_commit_participant:e271 moonshotai/Kimi-K2.6 count=6784:medium
40,gonka1wvv656pt2d8x2khcvytqeessck5uzjnxzsa8f6,https://gonka.top,True,False,False,5511.598439,0,did_not_vote,signal-1,signal_cluster,infrastructure_or_public_signal,0,5,1.378,enrich beneficiary identity | corroborate infrastructure cluster,compensation_output:5511.598439 GONKA:high | matched_validator_moniker:gonkavaloper1wvv656pt2d8x2khcvytqeessck5uzjnx7svq7h:high | matched_validator_moniker:gonkavaloper1wvv656pt2d8x2khcvytqeessck5uzjnx7svq7h:high | validator_key_match:UPvz2yI1wACw+ZnjhYaAxHssgwmlEYGo9vwDR5zh2tc=:high | validator_key_match:UPvz2yI1wACw+ZnjhYaAxHssgwmlEYGo9vwDR5zh2tc=:high
41,gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e,http://95.217.122.154:8000,True,False,False,4673.802242,0,did_not_vote,label:http://95.217.122.154:8000,label,shared_public_label_only,0,1,1.168,enrich beneficiary identity,compensation_output:4673.802242 GONKA:high | epoch_commit_participant:e265 Qwen/Qwen3-235B-A22B-Instruct-2507-FP8 count=3072:medium | epoch_commit_participant:e266 Qwen/Qwen3-235B-A22B-Instruct-2507-FP8 count=4096:medium | epoch_commit_participant:e266 moonshotai/Kimi-K2.6 count=6432:medium | epoch_commit_participant:e267 moonshotai/Kimi-K2.6 count=6176:medium
42,gonka14ljarev2nlzu4ej50vx7ylj2rvg4n20fnq2ysc,http://109.206.182.132:8000,True,False,False,4444.392151,0,did_not_vote,label:http://109.206.182.132:8000,label,shared_public_label_only,0,3,1.111,enrich beneficiary identity,compensation_output:4444.392151 GONKA:high | matched_validator_moniker:gonkavaloper14ljarev2nlzu4ej50vx7ylj2rvg4n20f0qmr84:high | matched_validator_moniker:gonkavaloper14ljarev2nlzu4ej50vx7ylj2rvg4n20f0qmr84:high | epoch_commit_participant:e272 moonshotai/Kimi-K2.6 count=14624:medium | epoch_commit_participant:e273 moonshotai/Kimi-K2.6 count=14592:medium
43,gonka1l8jd2nz92mnem0xwgwkltcw2952cnlphs5arsa,http://159.69.112.72:8000,True,False,False,4167.200641,0,did_not_vote,label:http://159.69.112.72:8000,label,shared_public_label_only,0,1,1.042,enrich beneficiary identity,compensation_output:4167.200641 GONKA:high | epoch_commit_participant:e273 moonshotai/Kimi-K2.6 count=13184:medium | epoch_commit_participant:e274 moonshotai/Kimi-K2.6 count=13120:medium | epoch_commit_participant:e275 moonshotai/Kimi-K2.6 count=12992:medium | participant_inference_url:http://159.69.112.72:8000:medium
44,gonka1007n977a7uda3pd9m6hftw8xcql0tc20m96myu,http://178.105.166.7:8000,True,False,False,3396.492512,0,did_not_vote,label:http://178.105.166.7:8000,label,shared_public_label_only,0,3,0.849,enrich beneficiary identity,compensation_output:3396.492512 GONKA:high | matched_validator_moniker:gonkavaloper1007n977a7uda3pd9m6hftw8xcql0tc2089tun3:high | matched_validator_moniker:gonkavaloper1007n977a7uda3pd9m6hftw8xcql0tc2089tun3:high | epoch_commit_participant:e268 moonshotai/Kimi-K2.6 count=14880:medium | epoch_commit_participant:e269 moonshotai/Kimi-K2.6 count=7040:medium
